ID	price	brand	model	Clasificacion 	year	title_status	mileage	color	lot	state	Precio _en_Mexico 	qx1_estado	qx_marca	qx_tipo 
1	6300	toyota	cruiser	DERIVADO_DE_TURISMO	2008	clean_vehicle	274117	black	159348797	new_jersey	126000	0.12	0.0436	0.128
2	2899	ford	se	DERIVADO_DE_TURISMO	2011	clean_vehicle	190552	silver	166951262	tennessee	57980	0.12	0.15	0.128
3	5350	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	39590	silver	167655728	georgia	107000	0.11	0.2	0.128
4	25000	ford	door	DERIVADO_DE_TURISMO	2014	clean_vehicle	64146	blue	167753855	virginia	500000	0.12	0.15	0.128
5	27700	chevrolet	1500	TODO_TERRENO	2018	clean_vehicle	6654	red	167763266	florida	554000	0.11	0.25	0.125
6	5700	dodge	mpv	DERIVADO_DE_TURISMO	2018	clean_vehicle	45561	white	167655771	texas	114000	0.12	0.2	0.128
7	7300	chevrolet	pk	TODO_TERRENO	2010	clean_vehicle	149050	black	167753872	georgia	146000	0.11	0.25	0.125
8	13350	gmc	door	TURISMO_FAMILIAR	2017	clean_vehicle	23525	gray	167692494	california	267000	0.13	0.04	0.14
9	14600	chevrolet	malibu	TODO_TERRENO	2018	clean_vehicle	9371	silver	167763267	florida	292000	0.11	0.25	0.125
10	5250	ford	mpv	DERIVADO_DE_TURISMO	2017	clean_vehicle	63418	black	167656121	texas	105000	0.12	0.15	0.128
11	10400	dodge	coupe	DERIVADO_DE_TURISMO	2009	clean_vehicle	107856	orange	167753874	georgia	208000	0.11	0.2	0.128
12	12920	gmc	mpv	TURISMO_FAMILIAR	2017	clean_vehicle	39650	white	167692496	california	258400	0.13	0.04	0.14
13	31900	chevrolet	1500	TODO_TERRENO	2018	clean_vehicle	22909	black	167763273	tennessee	638000	0.12	0.25	0.125
14	5430	chrysler	wagon	TODO_TERRENO	2017	clean_vehicle	138650	gray	167656123	texas	108600	0.12	0.04	0.125
15	20700	ford	door	DERIVADO_DE_TURISMO	2013	clean_vehicle	100757	black	167753916	virginia	414000	0.12	0.15	0.128
