ID,price,brand,model,Clasificacion ,year,title_status,mileage,color,lot,state,state,condition,Precio en México ,qx1-estado,qx_marca,qx_tipo 
1,6300,toyota,cruiser,DERIVADO DE TURISMO,2008,clean vehicle,274117,black,159348797,new jersey,new jersey,10 days left,126000,0.12,0.0436,0.128
2,2899,ford,se,DERIVADO DE TURISMO,2011,clean vehicle,190552,silver,166951262,tennessee,tennessee,6 days left,57980,0.12,0.15,0.128
3,5350,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,39590,silver,167655728,georgia,georgia,2 days left,107000,0.11,0.2,0.128
4,25000,ford,door,DERIVADO DE TURISMO,2014,clean vehicle,64146,blue,167753855,virginia,virginia,22 hours left,500000,0.12,0.15,0.128
5,27700,chevrolet,1500,TODO TERRENO,2018,clean vehicle,6654,red,167763266,florida,florida,22 hours left,554000,0.11,0.25,0.125
6,5700,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,45561,white,167655771,texas,texas,2 days left,114000,0.12,0.2,0.128
7,7300,chevrolet,pk,TODO TERRENO,2010,clean vehicle,149050,black,167753872,georgia,georgia,22 hours left,146000,0.11,0.25,0.125
8,13350,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,23525,gray,167692494,california,california,20 hours left,267000,0.13,0.04,0.14
9,14600,chevrolet,malibu,TODO TERRENO,2018,clean vehicle,9371,silver,167763267,florida,florida,22 hours left,292000,0.11,0.25,0.125
10,5250,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,63418,black,167656121,texas,texas,2 days left,105000,0.12,0.15,0.128
11,10400,dodge,coupe,DERIVADO DE TURISMO,2009,clean vehicle,107856,orange,167753874,georgia,georgia,22 hours left,208000,0.11,0.2,0.128
12,12920,gmc,mpv,TURISMO FAMILIAR,2017,clean vehicle,39650,white,167692496,california,california,20 hours left,258400,0.13,0.04,0.14
13,31900,chevrolet,1500,TODO TERRENO,2018,clean vehicle,22909,black,167763273,tennessee,tennessee,22 hours left,638000,0.12,0.25,0.125
14,5430,chrysler,wagon,TODO TERRENO,2017,clean vehicle,138650,gray,167656123,texas,texas,2 days left,108600,0.12,0.04,0.125
15,20700,ford,door,DERIVADO DE TURISMO,2013,clean vehicle,100757,black,167753916,virginia,virginia,22 hours left,414000,0.12,0.15,0.128
16,12710,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,25747,white,167692497,california,california,20 hours left,254200,0.13,0.04,0.14
17,5200,kia,forte,TURISMO MONOVOLUMEN,2018,clean vehicle,46194,blue,167801757,north carolina,north carolina,2 days left,104000,0.12,0.25,0.149
18,16500,buick,encore,TURISMO FAMILIAR,2018,clean vehicle,20002,red,167763275,tennessee,tennessee,22 hours left,330000,0.12,0.04,0.14
19,5210,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,35714,white,167656124,texas,texas,2 days left,104200,0.12,0.15,0.128
20,38100,ford,door,DERIVADO DE TURISMO,2013,clean vehicle,54380,gray,167753923,virginia,virginia,22 hours left,762000,0.12,0.15,0.128
21,12520,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,30114,white,167692498,california,california,20 hours left,250400,0.13,0.04,0.14
22,7300,kia,forte,TURISMO MONOVOLUMEN,2018,clean vehicle,38823,black,167801773,north carolina,north carolina,2 days left,146000,0.12,0.25,0.149
23,15000,chevrolet,door,TODO TERRENO,2015,clean vehicle,61578,black,167763280,ohio,ohio,2 days left,300000,0.1517,0.25,0.125
24,6180,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,46010,blue,167656125,texas,texas,2 days left,123600,0.12,0.15,0.128
25,20800,ford,door,DERIVADO DE TURISMO,2013,clean vehicle,105510,silver,167753937,virginia,virginia,22 hours left,416000,0.12,0.15,0.128
26,11900,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,28040,silver,167692503,california,california,20 hours left,238000,0.13,0.04,0.14
27,21500,kia,sorento,TURISMO MONOVOLUMEN,2020,clean vehicle,11451,blue,167801828,north carolina,north carolina,2 days left,430000,0.12,0.25,0.149
28,12000,buick,door,TURISMO FAMILIAR,2014,clean vehicle,31039,brown,167763299,ohio,ohio,2 days left,240000,0.1517,0.04,0.14
29,4190,ford,doors,DERIVADO DE TURISMO,2017,clean vehicle,44174,white,167656126,texas,texas,2 days left,83800,0.12,0.15,0.128
30,13000,ford,chassis,DERIVADO DE TURISMO,2008,clean vehicle,93698,white,167754098,tennessee,tennessee,22 hours left,260000,0.12,0.15,0.128
31,12710,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,26364,silver,167692504,california,california,20 hours left,254200,0.13,0.04,0.14
32,18500,infiniti,q70,DERIVADO DE TURISMO,2016,clean vehicle,71967,gray,167801920,new york,new york,19 hours left,370000,0.12,0.04,0.128
33,29800,chevrolet,camaro,TODO TERRENO,1973,clean vehicle,46226,red,167763370,pennsylvania,pennsylvania,22 hours left,596000,0.12,0.25,0.125
34,5330,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,37792,no_color,167656127,texas,texas,2 days left,106600,0.12,0.15,0.128
35,13000,ford,convertible,DERIVADO DE TURISMO,2003,clean vehicle,58817,gray,167754173,virginia,virginia,22 hours left,260000,0.12,0.15,0.128
36,11900,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,27965,black,167692507,california,california,20 hours left,238000,0.13,0.04,0.14
37,16600,mercedes-benz,vans,TODO TERRENO,2016,clean vehicle,110907,white,167802259,new york,new york,19 hours left,332000,0.12,0.04,0.125
38,19200,chevrolet,1500,TODO TERRENO,2018,clean vehicle,2430,white,167763391,tennessee,tennessee,22 hours left,384000,0.12,0.25,0.125
39,7320,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,32366,gold,167656128,texas,texas,2 days left,146400,0.12,0.15,0.128
40,7000,ford,pk,DERIVADO DE TURISMO,2003,clean vehicle,176567,white,167754187,tennessee,tennessee,22 hours left,140000,0.12,0.15,0.128
41,12710,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,30049,white,167692508,california,california,20 hours left,254200,0.13,0.04,0.14
42,16600,mercedes-benz,vans,TODO TERRENO,2016,clean vehicle,97983,white,167802269,new york,new york,19 hours left,332000,0.12,0.04,0.125
43,30500,chevrolet,1500,TODO TERRENO,2018,clean vehicle,30442,red,167763393,tennessee,tennessee,22 hours left,610000,0.12,0.25,0.125
44,6330,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,38123,red,167656129,texas,texas,2 days left,126600,0.12,0.15,0.128
45,55000,ford,srw,DERIVADO DE TURISMO,2017,clean vehicle,15273,black,167754310,pennsylvania,pennsylvania,3 days left,1100000,0.12,0.15,0.128
46,12520,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,28972,black,167692509,california,california,20 hours left,250400,0.13,0.04,0.14
47,16200,jeep,compass,DERIVADO DE TURISMO,2019,clean vehicle,30061,red,167802530,north carolina,north carolina,2 days left,324000,0.12,0.04,0.128
48,19000,chevrolet,malibu,TODO TERRENO,2017,clean vehicle,18414,white,167763675,tennessee,tennessee,22 hours left,380000,0.12,0.25,0.125
49,5580,dodge,mpv,DERIVADO DE TURISMO,2017,clean vehicle,46829,gray,167656130,texas,texas,2 days left,111600,0.12,0.2,0.128
50,54000,ford,srw,DERIVADO DE TURISMO,2017,clean vehicle,26241,black,167754311,pennsylvania,pennsylvania,3 days left,1080000,0.12,0.15,0.128
51,12710,gmc,mpv,TURISMO FAMILIAR,2017,clean vehicle,39886,red,167692513,california,california,20 hours left,254200,0.13,0.04,0.14
52,16000,jeep,compass,DERIVADO DE TURISMO,2019,clean vehicle,31594,silver,167802531,north carolina,north carolina,2 days left,320000,0.12,0.04,0.128
53,27000,buick,enclave,TURISMO FAMILIAR,2017,clean vehicle,32107,no_color,167763677,tennessee,tennessee,22 hours left,540000,0.12,0.04,0.14
54,7760,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,44794,gray,167656131,texas,texas,2 days left,155200,0.12,0.15,0.128
55,19600,chrysler,300,TODO TERRENO,2019,clean vehicle,42648,gray,167754404,south carolina,south carolina,22 hours left,392000,0.1541,0.04,0.125
56,12920,gmc,mpv,TURISMO FAMILIAR,2017,clean vehicle,39165,silver,167692514,california,california,20 hours left,258400,0.13,0.04,0.14
57,20000,jeep,cherokee,DERIVADO DE TURISMO,2019,clean vehicle,38355,charcoal,167802532,north carolina,north carolina,2 days left,400000,0.12,0.04,0.128
58,18100,buick,door,TURISMO FAMILIAR,2017,clean vehicle,46766,silver,167763681,florida,florida,2 days left,362000,0.11,0.04,0.14
59,23000,chrysler,pacifica,TODO TERRENO,2020,clean vehicle,2473,white,167656205,ohio,ohio,2 days left,460000,0.1517,0.04,0.125
60,18500,chrysler,300,TODO TERRENO,2019,clean vehicle,38586,gray,167754410,south carolina,south carolina,22 hours left,370000,0.1541,0.04,0.125
61,13490,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,27842,white,167692515,california,california,20 hours left,269800,0.13,0.04,0.14
62,20700,jeep,cherokee,DERIVADO DE TURISMO,2019,clean vehicle,31156,white,167802533,north carolina,north carolina,2 days left,414000,0.12,0.04,0.128
63,17800,chevrolet,door,TODO TERRENO,2017,clean vehicle,52435,black,167763683,florida,florida,22 hours left,356000,0.11,0.25,0.125
64,6650,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,29942,black,167656254,texas,texas,2 days left,133000,0.12,0.15,0.128
65,29100,chrysler,pacifica,TODO TERRENO,2019,clean vehicle,25281,red,167754412,south carolina,south carolina,22 hours left,582000,0.1541,0.04,0.125
66,12710,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,32504,silver,167692524,california,california,20 hours left,254200,0.13,0.04,0.14
67,21100,jeep,cherokee,DERIVADO DE TURISMO,2019,clean vehicle,28649,silver,167802534,north carolina,north carolina,2 days left,422000,0.12,0.04,0.128
68,18600,chevrolet,door,TODO TERRENO,2017,clean vehicle,35200,white,167763684,florida,florida,22 hours left,372000,0.11,0.25,0.125
69,4340,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,25602,silver,167656255,texas,texas,2 days left,86800,0.12,0.15,0.128
70,19300,chrysler,300,TODO TERRENO,2019,clean vehicle,34801,gray,167754413,south carolina,south carolina,22 hours left,386000,0.1541,0.04,0.125
71,12780,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,31009,black,167692525,california,california,20 hours left,255600,0.13,0.04,0.14
72,15800,jeep,compass,DERIVADO DE TURISMO,2019,clean vehicle,35595,charcoal,167802541,north carolina,north carolina,2 days left,316000,0.12,0.04,0.128
73,29400,bmw,x3,TURISMO FAMILIAR,2017,clean vehicle,23765,black,167763685,tennessee,tennessee,22 hours left,588000,0.12,0.03,0.14
74,4430,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,31792,black,167656256,texas,texas,2 days left,88600,0.12,0.15,0.128
75,19400,chrysler,300,TODO TERRENO,2019,clean vehicle,33135,gray,167754417,south carolina,south carolina,22 hours left,388000,0.1541,0.04,0.125
76,12520,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,30636,red,167692526,california,california,20 hours left,250400,0.13,0.04,0.14
77,15900,jeep,compass,DERIVADO DE TURISMO,2019,clean vehicle,34502,red,167802543,north carolina,north carolina,2 days left,318000,0.12,0.04,0.128
78,26400,buick,door,TURISMO FAMILIAR,2017,clean vehicle,25434,white,167763690,florida,florida,22 hours left,528000,0.11,0.04,0.14
79,4140,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,36732,black,167656257,texas,texas,2 days left,82800,0.12,0.15,0.128
80,18300,chrysler,300,TODO TERRENO,2019,clean vehicle,41792,gray,167754420,south carolina,south carolina,22 hours left,366000,0.1541,0.04,0.125
81,12520,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,31992,black,167692527,california,california,20 hours left,250400,0.13,0.04,0.14
82,17900,jeep,compass,DERIVADO DE TURISMO,2019,clean vehicle,32501,red,167802544,north carolina,north carolina,2 days left,358000,0.12,0.04,0.128
83,18300,chevrolet,camaro,TODO TERRENO,2017,clean vehicle,28395,black,167763691,florida,florida,22 hours left,366000,0.11,0.25,0.125
84,4640,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,36139,blue,167656258,texas,texas,2 days left,92800,0.12,0.15,0.128
85,24000,ford,door,DERIVADO DE TURISMO,2016,clean vehicle,84413,black,167754527,pennsylvania,pennsylvania,3 days left,480000,0.12,0.15,0.128
86,13200,gmc,door,TURISMO FAMILIAR,2017,clean vehicle,33457,white,167692528,california,california,20 hours left,264000,0.13,0.04,0.14
87,18000,jeep,compass,DERIVADO DE TURISMO,2019,clean vehicle,29245,gray,167802545,north carolina,north carolina,2 days left,360000,0.12,0.04,0.128
88,14900,chevrolet,equinox,TODO TERRENO,2017,clean vehicle,12783,silver,167763692,florida,florida,22 hours left,298000,0.11,0.25,0.125
89,4140,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,17617,white,167656259,texas,texas,2 days left,82800,0.12,0.15,0.128
90,11500,ford,door,DERIVADO DE TURISMO,2016,clean vehicle,36855,black,167754531,pennsylvania,pennsylvania,2 days left,230000,0.12,0.15,0.128
91,9110,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,110316,white,167656356,texas,texas,2 days left,182200,0.12,0.15,0.128
92,7350,chrysler,door,TODO TERRENO,2015,clean vehicle,88227,black,167755375,pennsylvania,pennsylvania,2 days left,147000,0.12,0.04,0.125
93,24500,bmw,door,TURISMO FAMILIAR,2017,clean vehicle,17626,gray,167765094,michigan,michigan,2 days left,490000,0.0618,0.03,0.14
94,9300,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,120353,white,167656357,texas,texas,2 days left,186000,0.12,0.15,0.128
95,39800,dodge,challenger,DERIVADO DE TURISMO,2015,clean vehicle,3641,white,167755377,pennsylvania,pennsylvania,2 days left,796000,0.12,0.2,0.128
96,53500,bmw,m,TURISMO FAMILIAR,2017,clean vehicle,29355,blue,167765095,michigan,michigan,2 days left,1070000,0.0618,0.03,0.14
97,15110,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,39333,black,167656358,texas,texas,2 days left,302200,0.12,0.15,0.128
98,34000,ford,door,DERIVADO DE TURISMO,2015,clean vehicle,42930,white,167755448,pennsylvania,pennsylvania,2 days left,680000,0.12,0.15,0.128
99,26502,chevrolet,colorado,TODO TERRENO,2017,clean vehicle,24993,black,167765108,michigan,michigan,20 hours left,530040,0.0618,0.25,0.125
100,5990,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,44929,black,167656359,texas,texas,2 days left,119800,0.12,0.15,0.128
101,13600,ford,focus,DERIVADO DE TURISMO,2018,clean vehicle,16971,black,167755490,south carolina,south carolina,21 hours left,272000,0.1541,0.15,0.128
102,23605,cadillac,door,INDUSTRIAL LIGERO,2017,clean vehicle,35598,gray,167765109,michigan,michigan,2 days left,472100,0.0618,0.04,0.198
103,10780,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,40455,white,167656360,texas,texas,2 days left,215600,0.12,0.15,0.128
104,13800,ford,focus,DERIVADO DE TURISMO,2018,clean vehicle,23164,white,167755491,south carolina,south carolina,21 hours left,276000,0.1541,0.15,0.128
105,25201,cadillac,door,INDUSTRIAL LIGERO,2017,clean vehicle,19011,no_color,167765111,michigan,michigan,2 days left,504020,0.0618,0.04,0.198
106,7070,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,45191,white,167656361,texas,texas,2 days left,141400,0.12,0.15,0.128
107,8700,ford,focus,DERIVADO DE TURISMO,2018,clean vehicle,21405,white,167755494,south carolina,south carolina,21 hours left,174000,0.1541,0.15,0.128
108,18003,chevrolet,malibu,TODO TERRENO,2017,clean vehicle,19117,no_color,167765112,michigan,michigan,17 hours left,360060,0.0618,0.25,0.125
109,8530,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,42104,black,167656362,texas,texas,2 days left,170600,0.12,0.15,0.128
110,23100,dodge,durango,DERIVADO DE TURISMO,2018,clean vehicle,49496,white,167755496,south carolina,south carolina,21 hours left,462000,0.1541,0.2,0.128
111,24500,cadillac,door,INDUSTRIAL LIGERO,2017,clean vehicle,32418,white,167765114,michigan,michigan,2 days left,490000,0.0618,0.04,0.198
112,7000,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,29882,white,167656363,texas,texas,2 days left,140000,0.12,0.15,0.128
113,17000,ford,escape,DERIVADO DE TURISMO,2018,clean vehicle,34819,gold,167755501,south carolina,south carolina,21 hours left,340000,0.1541,0.15,0.128
114,34002,chevrolet,1500,TODO TERRENO,2017,clean vehicle,31923,white,167765115,michigan,michigan,2 days left,680040,0.0618,0.25,0.125
115,6980,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,29168,gray,167656364,texas,texas,2 days left,139600,0.12,0.15,0.128
116,25000,dodge,charger,DERIVADO DE TURISMO,2018,clean vehicle,28307,silver,167755814,michigan,michigan,21 hours left,500000,0.0618,0.2,0.128
117,20802,chevrolet,colorado,TODO TERRENO,2017,clean vehicle,33791,turquoise,167765116,michigan,michigan,2 days left,416040,0.0618,0.25,0.125
118,9200,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,21770,black,167656365,texas,texas,2 days left,184000,0.12,0.15,0.128
119,26500,chrysler,pacifica,TODO TERRENO,2017,clean vehicle,18375,gray,167755839,michigan,michigan,21 hours left,530000,0.0618,0.04,0.125
120,24802,chevrolet,colorado,TODO TERRENO,2017,clean vehicle,14158,gray,167765119,michigan,michigan,2 days left,496040,0.0618,0.25,0.125
121,7070,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,30318,black,167656366,texas,texas,2 days left,141400,0.12,0.15,0.128
122,28500,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,48086,red,167755890,south carolina,south carolina,21 hours left,570000,0.1541,0.15,0.128
123,47500,cadillac,door,INDUSTRIAL LIGERO,2017,clean vehicle,26562,black,167765120,michigan,michigan,2 days left,950000,0.0618,0.04,0.198
124,23500,ford,explorer,DERIVADO DE TURISMO,2017,clean vehicle,57611,black,167755891,south carolina,south carolina,21 hours left,470000,0.1541,0.15,0.128
125,23505,chevrolet,colorado,TODO TERRENO,2017,clean vehicle,47357,black,167765121,michigan,michigan,2 hours left,470100,0.0618,0.25,0.125
126,10940,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,84916,white,167656368,texas,texas,2 days left,218800,0.12,0.15,0.128
127,32100,ford,f-150,DERIVADO DE TURISMO,2017,clean vehicle,24521,gray,167755893,south carolina,south carolina,21 hours left,642000,0.1541,0.15,0.128
128,53000,chevrolet,3500,TODO TERRENO,2018,clean vehicle,16105,black,167765123,washington,washington,21 hours left,1060000,0.13,0.25,0.125
129,6830,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,35888,gold,167656369,texas,texas,2 days left,136600,0.12,0.15,0.128
130,11900,dodge,caravan,DERIVADO DE TURISMO,2017,clean vehicle,59537,gray,167755906,south carolina,south carolina,21 hours left,238000,0.1541,0.2,0.128
131,26414,chevrolet,1500,TODO TERRENO,2017,clean vehicle,55222,black,167765140,michigan,michigan,20 hours left,528280,0.0618,0.25,0.125
132,4160,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,32870,gray,167656464,florida,florida,17 hours left,83200,0.11,0.2,0.128
133,19405,chevrolet,door,TODO TERRENO,2017,clean vehicle,39687,silver,167765141,michigan,michigan,3 hours left,388100,0.0618,0.25,0.125
134,5690,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,47085,silver,167656466,florida,florida,17 hours left,113800,0.11,0.2,0.128
