Dia	CurvadeDescuentoPeso
1	0.074825679
2	0.074833455
3	0.074841232
4	0.074849011
5	0.075385724
6	0.075928937
7	0.0762674
8	0.076606005
9	0.076944755
10	0.07728365
11	0.07762269
12	0.077961878
13	0.078028055
14	0.078094258
15	0.078160488
16	0.078226744
17	0.078293026
18	0.078359335
19	0.078425671
20	0.078492033
21	0.078558421
22	0.078624836
23	0.078691278
24	0.078757747
25	0.078824242
26	0.078890764
27	0.078957313
28	0.079023889
29	0.079090491
30	0.079157121
31	0.079223777
32	0.079290461
33	0.079357171
34	0.079423909
35	0.079490673
36	0.079586369
37	0.079682105
38	0.079777882
39	0.079873699
40	0.079969557
41	0.080065455
42	0.080161395
43	0.080257374
44	0.080353395
45	0.080449457
46	0.080545559
47	0.080641703
48	0.080737888
49	0.080834114
50	0.080930382
51	0.081026691
52	0.081123041
53	0.081219433
54	0.081315866
55	0.081412342
56	0.081508859
57	0.081605418
58	0.081702018
59	0.081798661
60	0.081895346
61	0.081992073
62	0.082088842
63	0.082185654
64	0.082282508
65	0.082379405
66	0.082476344
67	0.082549003
68	0.082621693
69	0.082694415
70	0.082767167
71	0.082839951
72	0.082912765
73	0.082985611
74	0.083058488
75	0.083131396
76	0.083204336
77	0.083277307
78	0.083350309
79	0.083423343
80	0.083496408
81	0.083569505
82	0.083642633
83	0.083715793
84	0.083788985
85	0.083862208
86	0.083935463
87	0.08400875
88	0.084082068
89	0.084155419
90	0.084228801
91	0.084302216
92	0.084375662
93	0.08444914
94	0.084522651
95	0.084596193
96	0.084669768
97	0.084743375
98	0.084816325
99	0.084889307
100	0.08496232
101	0.085035366
102	0.085108444
103	0.085181553
104	0.085254696
105	0.08532787
106	0.085401076
107	0.085474315
108	0.085547587
109	0.08562089
110	0.085694226
111	0.085767595
112	0.085840996
113	0.08591443
114	0.085987897
115	0.086061396
116	0.086134927
117	0.086208492
118	0.086282089
119	0.08635572
120	0.086429383
121	0.086503079
122	0.086576808
123	0.08665057
124	0.086724365
125	0.086798193
126	0.086872055
127	0.086945949
128	0.087019877
129	0.087093839
130	0.087167833
131	0.087241861
132	0.087315922
133	0.087390017
134	0.087464146
135	0.087538308
136	0.087612503
137	0.087686732
138	0.087760995
139	0.087835292
140	0.087909622
141	0.087983987
142	0.088058385
143	0.088132817
144	0.088207283
145	0.088281783
146	0.088356317
147	0.088430885
148	0.088505488
149	0.088580124
150	0.088654795
151	0.0887295
152	0.08880424
153	0.088879014
154	0.088953822
155	0.089028665
156	0.089103542
157	0.089178454
158	0.0892534
159	0.089328382
160	0.089403397
161	0.089478448
162	0.089553533
163	0.089628654
164	0.089703809
165	0.089778999
166	0.089854224
167	0.089929484
168	0.090004779
169	0.090080109
170	0.090155475
171	0.090230875
172	0.090306311
173	0.090381782
174	0.090457289
175	0.090532831
176	0.090608408
177	0.090684021
178	0.090759669
179	0.090835353
180	0.090911073
181	0.090986828
182	0.091062619
183	0.091138446
184	0.091214308
185	0.091290207
186	0.091366141
187	0.091442112
188	0.091518118
189	0.091568154
190	0.091618213
191	0.091668293
192	0.091718395
193	0.091768518
194	0.091818664
195	0.091868832
196	0.091919021
197	0.091969233
198	0.092019466
199	0.092069722
200	0.09212
201	0.092170299
202	0.092220621
203	0.092270965
204	0.09232133
205	0.092371718
206	0.092422128
207	0.092472561
208	0.092523015
209	0.092573492
210	0.092623991
211	0.092674512
212	0.092725055
213	0.092775621
214	0.092826209
215	0.092876819
216	0.092927452
217	0.092978107
218	0.093028784
219	0.093079484
220	0.093130206
221	0.093180951
222	0.093231718
223	0.093282508
224	0.09333332
225	0.093384155
226	0.093435012
227	0.093485892
228	0.093536794
229	0.093587719
230	0.093638667
231	0.093689637
232	0.09374063
233	0.093791646
234	0.093842684
235	0.093893745
236	0.093944829
237	0.093995936
238	0.094047065
239	0.094098217
240	0.094149392
241	0.09420059
242	0.094251811
243	0.094303055
244	0.094354321
245	0.094405611
246	0.094456924
247	0.094508259
248	0.094559618
249	0.094610999
250	0.094662404
251	0.094713831
252	0.094765282
253	0.094816756
254	0.094868253
255	0.094919773
256	0.094971316
257	0.095022883
258	0.095074473
259	0.095126086
260	0.095177722
261	0.095229381
262	0.095281064
263	0.09533277
264	0.095384499
265	0.095436252
266	0.095488028
267	0.095539828
268	0.095591651
269	0.095643497
270	0.095695367
271	0.095747261
272	0.095799177
273	0.095851118
274	0.095903082
275	0.095955069
276	0.096007081
277	0.096059115
278	0.096111174
279	0.096143696
280	0.096176231
281	0.096208778
282	0.096241339
283	0.096273912
284	0.096306498
285	0.096339097
286	0.096371708
287	0.096404333
288	0.09643697
289	0.09646962
290	0.096502283
291	0.096534959
292	0.096567647
293	0.096600349
294	0.096633063
295	0.09666579
296	0.09669853
297	0.096731283
298	0.096764049
299	0.096796828
300	0.09682962
301	0.096862424
302	0.096895242
303	0.096928072
304	0.096960915
305	0.096993772
306	0.097026641
307	0.097059523
308	0.097092418
309	0.097125327
310	0.097158248
311	0.097191182
312	0.097224129
313	0.097257089
314	0.097290063
315	0.097323049
316	0.097356048
317	0.097389061
318	0.097422086
319	0.097455124
320	0.097488176
321	0.09752124
322	0.097554318
323	0.097587409
324	0.097620513
325	0.09765363
326	0.09768676
327	0.097719903
328	0.097753059
329	0.097786229
330	0.097819412
331	0.097852607
332	0.097885816
333	0.097919038
334	0.097952274
335	0.097985522
336	0.098018784
337	0.098052059
338	0.098085347
339	0.098118648
340	0.098151963
341	0.098185291
342	0.098218632
343	0.098251986
344	0.098285353
345	0.098318734
346	0.098352128
