Dia	CurvadeProyeccionTIIE
1	0.071955504
2	0.071962695
3	0.071969887
4	0.07197708
5	0.071984274
6	0.071991469
7	0.071998664
8	0.072005861
9	0.072013059
10	0.072020258
11	0.072027458
12	0.072034658
13	0.07204186
14	0.072049063
15	0.072056266
16	0.072063471
17	0.072070676
18	0.072077883
19	0.07208509
20	0.072092298
21	0.072099508
22	0.072106718
23	0.072113929
24	0.072121142
25	0.072128355
26	0.072135569
27	0.072142784
28	0.07215
29	0.072157217
30	0.072164435
31	0.072171654
32	0.072258575
33	0.072345529
34	0.072432517
35	0.072519538
36	0.072606593
37	0.072693681
38	0.072780803
39	0.072867959
40	0.072955149
41	0.073042373
42	0.073129631
43	0.073216922
44	0.073304248
45	0.073391608
46	0.073479003
47	0.073566431
48	0.073653894
49	0.073741392
50	0.073828924
51	0.07391649
52	0.074004091
53	0.074091727
54	0.074179398
55	0.074267103
56	0.074354843
57	0.074442618
58	0.074530428
59	0.074618274
60	0.074706154
61	0.074794069
62	0.07488202
63	0.074970006
64	0.075058028
65	0.075146085
66	0.075234177
67	0.075322305
68	0.075410469
69	0.075498668
70	0.075586903
71	0.075675174
72	0.075763481
73	0.075851824
74	0.075940203
75	0.076028618
76	0.076117069
77	0.076205556
78	0.07629408
79	0.07638264
80	0.076471236
81	0.076559869
82	0.076648539
83	0.076737245
84	0.076825987
85	0.076914767
86	0.077003583
87	0.077092436
88	0.077166792
89	0.077241177
90	0.077315594
91	0.07739004
92	0.077464517
93	0.077539025
94	0.077613563
95	0.077688131
96	0.077762731
97	0.077837361
98	0.077912021
99	0.077986713
100	0.078061435
101	0.078136188
102	0.078210972
103	0.078285787
104	0.078360633
105	0.07843551
106	0.078510418
107	0.078585358
108	0.078660328
109	0.07873533
110	0.078810363
111	0.078885427
112	0.078960522
113	0.07903565
114	0.079110808
115	0.079185998
116	0.07926122
117	0.079336473
118	0.079411758
119	0.079487074
120	0.079562422
121	0.079637802
122	0.079713214
123	0.079788658
124	0.079864134
125	0.079939641
126	0.080015181
127	0.080090753
128	0.080166357
129	0.080241993
130	0.080317661
131	0.080393362
132	0.080469094
133	0.08054486
134	0.080620657
135	0.080696487
136	0.08077235
137	0.080848245
138	0.080924172
139	0.081000133
140	0.081076126
141	0.081152151
142	0.08122821
143	0.081304301
144	0.081380425
145	0.081456582
146	0.081532772
147	0.081608995
148	0.081685252
149	0.081761541
150	0.081837863
151	0.081914219
152	0.081990608
153	0.08206703
154	0.082143485
155	0.082219974
156	0.082296497
157	0.082373053
158	0.082449642
159	0.082526265
160	0.082602922
161	0.082679612
162	0.082756336
163	0.082833094
164	0.082909886
165	0.082986711
