Dia,CurvadeDescuentoPeso,CurvadeProyeccionTIIE
1,0.074825679,0.071955504
2,0.074833455,0.071962695
3,0.074841232,0.071969887
4,0.074849011,0.07197708
5,0.075385724,0.071984274
6,0.075928937,0.071991469
7,0.0762674,0.071998664
8,0.076606005,0.072005861
9,0.076944755,0.072013059
10,0.07728365,0.072020258
11,0.07762269,0.072027458
12,0.077961878,0.072034658
13,0.078028055,0.07204186
14,0.078094258,0.072049063
15,0.078160488,0.072056266
16,0.078226744,0.072063471
17,0.078293026,0.072070676
18,0.078359335,0.072077883
19,0.078425671,0.07208509
20,0.078492033,0.072092298
21,0.078558421,0.072099508
22,0.078624836,0.072106718
23,0.078691278,0.072113929
24,0.078757747,0.072121142
25,0.078824242,0.072128355
26,0.078890764,0.072135569
27,0.078957313,0.072142784
28,0.079023889,0.07215
29,0.079090491,0.072157217
30,0.079157121,0.072164435
31,0.079223777,0.072171654
32,0.079290461,0.072258575
33,0.079357171,0.072345529
34,0.079423909,0.072432517
35,0.079490673,0.072519538
36,0.079586369,0.072606593
37,0.079682105,0.072693681
38,0.079777882,0.072780803
39,0.079873699,0.072867959
40,0.079969557,0.072955149
41,0.080065455,0.073042373
42,0.080161395,0.073129631
43,0.080257374,0.073216922
44,0.080353395,0.073304248
45,0.080449457,0.073391608
46,0.080545559,0.073479003
47,0.080641703,0.073566431
48,0.080737888,0.073653894
49,0.080834114,0.073741392
50,0.080930382,0.073828924
51,0.081026691,0.07391649
52,0.081123041,0.074004091
53,0.081219433,0.074091727
54,0.081315866,0.074179398
55,0.081412342,0.074267103
56,0.081508859,0.074354843
57,0.081605418,0.074442618
58,0.081702018,0.074530428
59,0.081798661,0.074618274
60,0.081895346,0.074706154
61,0.081992073,0.074794069
62,0.082088842,0.07488202
63,0.082185654,0.074970006
64,0.082282508,0.075058028
65,0.082379405,0.075146085
66,0.082476344,0.075234177
67,0.082549003,0.075322305
68,0.082621693,0.075410469
69,0.082694415,0.075498668
70,0.082767167,0.075586903
71,0.082839951,0.075675174
72,0.082912765,0.075763481
73,0.082985611,0.075851824
74,0.083058488,0.075940203
75,0.083131396,0.076028618
76,0.083204336,0.076117069
77,0.083277307,0.076205556
78,0.083350309,0.07629408
79,0.083423343,0.07638264
80,0.083496408,0.076471236
81,0.083569505,0.076559869
82,0.083642633,0.076648539
83,0.083715793,0.076737245
84,0.083788985,0.076825987
85,0.083862208,0.076914767
86,0.083935463,0.077003583
87,0.08400875,0.077092436
88,0.084082068,0.077166792
89,0.084155419,0.077241177
90,0.084228801,0.077315594
91,0.084302216,0.07739004
92,0.084375662,0.077464517
